Season,PA,wRC_Plus,BB_Rate,K_Rate,O_Swing_Rate,Z_Swing_Rate,Swing_Rate,MLBAMID
2018,248,136.2722776,0.056451612,0.096774193,0.3533,0.8418,0.5597,643446
2016,484,95.7865399,0.026859504,0.216942148,0.4011,0.755,0.5592,449181
2020,232,149.4530652,0.073275862,0.159482758,0.3377,0.8477,0.5576,608369
2019,452,88.29227314,0.050884955,0.128318584,0.4146,0.7593,0.5572,425877
2019,225,116.965878,0.071111111,0.266666666,0.412,0.8296,0.5569,606157
2017,426,105.0815391,0.072769953,0.298122065,0.4078,0.7785,0.5567,460576
2017,598,113.147762,0.056856187,0.157190635,0.4031,0.7621,0.5561,519058
2019,511,110.8494094,0.048923679,0.295499021,0.4191,0.7421,0.5559,542454
2018,707,135.9225178,0.107496463,0.186704384,0.3451,0.8505,0.5558,518692
2017,224,92.5247407,0.044642857,0.160714285,0.4031,0.7393,0.5557,467092
2018,321,68.37124366,0.049844236,0.180685358,0.4121,0.7432,0.5557,588751
2017,386,85.02752242,0.04404145,0.225388601,0.4037,0.7398,0.5548,572008
2019,702,115.5734455,0.076923076,0.159544159,0.3793,0.8141,0.5548,645277
2018,271,110.5762791,0.070110701,0.250922509,0.3958,0.7696,0.5544,621311
2016,218,94.60980048,0.055045871,0.23853211,0.4133,0.7898,0.5542,408047
2016,672,108.0431916,0.053571428,0.232142857,0.4074,0.7495,0.5541,461314
2016,597,97.19541581,0.031825795,0.137353433,0.4007,0.7483,0.5537,544369
2019,530,81.61853156,0.037735849,0.132075471,0.467,0.6807,0.5537,578428
2021,558,104.2110644,0.055555555,0.134408602,0.3889,0.7701,0.5533,543281
2019,344,83.72739792,0.049418604,0.154069767,0.4107,0.7751,0.553,544369
2021,277,106.8807278,0.061371841,0.176895306,0.4631,0.6967,0.5528,642336
2020,221,139.8913006,0.045248868,0.226244343,0.4358,0.7299,0.5522,641313
2021,361,92.69134107,0.038781163,0.155124653,0.4523,0.6994,0.5521,623912
2016,362,82.59375998,0.074585635,0.314917127,0.378,0.7972,0.552,429667
2017,237,92.19453389,0.059071729,0.295358649,0.3992,0.7343,0.552,425784
2018,374,76.93082309,0.048128342,0.181818181,0.3961,0.7475,0.552,543281
2019,561,112.3415613,0.049910873,0.278074866,0.4412,0.7429,0.5519,595879
2016,546,89.46964369,0.04029304,0.217948717,0.4424,0.7014,0.5518,521692
2021,586,110.8141549,0.06996587,0.274744027,0.415,0.7738,0.5512,663624
2018,678,128.8481919,0.072271386,0.222713864,0.3861,0.7878,0.5506,592206
2021,290,69.15880561,0.044827586,0.248275862,0.4523,0.7105,0.5505,621446
2019,288,65.75090961,0.027777777,0.204861111,0.4715,0.6626,0.5496,608475
2021,511,89.45353708,0.04109589,0.146771037,0.4695,0.6649,0.5495,578428
2021,585,140.2821853,0.07008547,0.206837606,0.4035,0.7987,0.5492,592206
2018,291,113.405439,0.037800687,0.26460481,0.3712,0.7934,0.5491,609275
2019,702,132.3264341,0.068376068,0.169515669,0.4051,0.7615,0.5491,646240
