season,name,team,pa,ops,woba,xwoba,wrc_plus,bb_rate,bb_rate_plus,k_rate,k_rate_plus,o_swing_rate,z_swing_rate,swing_rate,NameASCII,PlayerId,MLBAMID
2016,Chris Gimenez,CLE,155,0.602458429,0.264769125,,57.46165662,0.064516129,80.44505095,0.264516129,128.0428884,0.3441,0.6014,0.4662,Chris Gimenez,7324,460269
2019,Joey Rickard,- - -,189,0.669312169,0.290371437,,77.17747434,0.095238095,111.0142267,0.264550264,117.5138729,0.3072,0.7061,0.4662,Joey Rickard,13277,572073
2023,Henry Ramos,CIN,86,0.659648019,0.302751068,,82.98283789,0.127906976,145.1505743,0.244186046,109.415093,0.2965,0.7679,0.4662,Henry Ramos,11481,592656
2016,Andrew McCutchen,PIT,675,0.766062182,0.328775964,,104.8530101,0.102222222,118.2953713,0.211851851,103.2602608,0.2538,0.7141,0.4661,Andrew McCutchen,9847,457705
2017,Brian Anderson,MIA,95,0.705889724,0.309269639,,91.6543246,0.105263157,116.9945553,0.294736842,140.3328381,0.3091,0.6768,0.4661,Brian Anderson,18289,605119
2016,Mikie Mahtook,TBR,196,0.522661121,0.228622867,,39.25253472,0.035714285,44.53208091,0.346938775,167.9407718,0.3232,0.6392,0.466,Mikie Mahtook,13130,543484
2017,Ryan McMahon,COL,24,0.543859648,0.268769915,,46.57076903,0.208333333,231.5517257,0.208333333,99.19359825,0.2787,0.7381,0.466,Ryan McMahon,15112,641857
2020,Kevin Plawecki,BOS,89,0.85667306,0.373165471,,132.7665076,0.056179775,62.07737227,0.15730337,66.21375986,0.3246,0.6692,0.466,Kevin Plawecki,13807,608700
2022,Ildemaro Vargas,- - -,222,0.69098703,0.30163646,,92.87818304,0.036036036,43.12784925,0.103603603,45.81412586,0.3184,0.6552,0.466,Ildemaro Vargas,13324,545121
2023,Kevin Newman,CIN,253,0.675201416,0.295550594,,78.15576929,0.067193675,76.25229539,0.134387351,60.21639955,0.3162,0.6527,0.466,Kevin Newman,17696,621028
2023,Estevan Florial,NYY,71,0.63541907,0.288011844,,82.73535402,0.098591549,117.7562599,0.28169014,121.7440378,0.2722,0.728,0.466,Estevan Florial,19151,664314
2017,Mike Aviles,MIA,97,0.588570014,0.256139313,,56.77031415,0.06185567,68.74937834,0.154639175,73.62823788,0.3,0.6395,0.4659,Mike Aviles,5986,449107
2020,David Peralta,ARI,218,0.772947077,0.33317859,,105.9581659,0.059633027,64.31766643,0.206422018,89.33388346,0.306,0.6732,0.4659,David Peralta,2136,444482
2021,Dustin Fowler,PIT,46,0.434252385,0.202457896,,21.17986605,0.065217391,71.00106466,0.434782608,194.9514202,0.3516,0.5882,0.4659,Dustin Fowler,17098,641583
2016,Alex Bregman,HOU,217,0.790975995,0.335513259,,114.0469187,0.069124423,86.19112486,0.239631336,115.9970416,0.2717,0.6927,0.4658,Alex Bregman,17678,608324
2018,Wil Myers,SDP,343,0.763297076,0.327590036,,107.3112151,0.087463556,97.4582964,0.274052478,127.0172819,0.3381,0.6545,0.4658,Wil Myers,10047,571976
2020,Bryan Reynolds,PIT,208,0.632119074,0.27754915,,70.49876767,0.100961538,108.8928543,0.274038461,118.5964568,0.313,0.7021,0.4658,Bryan Reynolds,19326,668804
2018,Yadiel Rivera,MIA,160,0.484577338,0.21908115,,37.07038192,0.11875,132.3199425,0.31875,147.7335979,0.304,0.6929,0.4657,Yadiel Rivera,11863,592680
